pitch,roll,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,distance,time,jerk_x,jerk_y,jerk_z,is_running_backoff
-1.0,0.0,196.2785,-64.62828,8983.331,-0.8259892,1.934445,0.845286,2000.0,2024-01-12 16:26:49.547098,5291.54329353444,382.372474350584,-6204.293539593627,False
-4.0,2.0,734.8475,359.046,9880.946,-0.3359892,-1.005555,5.745286,2000.0,2024-01-12 16:26:49.713182,3242.750656294405,2550.963849618265,5404.5844271573405,False
-2.0,6.0,473.9407,1091.5,9665.519,3.234011,-3.035555,1.125286,2000.0,2024-01-12 16:26:49.892495,-1455.0356081265718,4084.7791292321244,-1201.40201770089,False
-7.0,0.0,1259.055,157.9802,10216.06,1.974011,2.494445,-1.114714,2000.0,2024-01-12 16:26:50.072700,4356.784217973975,-5180.321300740823,3055.0817124941,False
-2.0,0.0,394.9506,-62.23464,10132.28,-2.225989,3.124445,2.245286,2000.0,2024-01-12 16:26:50.252880,-4795.784215784216,-1222.193584193584,-464.9794649794585,False
0.0,3.0,40.69188,569.6863,9845.041,-1.385989,1.584445,1.335286,2000.0,2024-01-12 16:26:50.432952,-1967.3170731707319,3509.268181616242,-1595.134168554808,False
-14.0,0.0,2276.352,95.74561,8602.742,-2.155989,-12.48555,-0.624714,2000.0,2024-01-12 16:26:50.613085,12411.163529170113,-2631.0597725014295,-6896.565315627892,False
6.0,5.0,-1069.957,861.7104,9813.924,-2.225989,4.734445,2.805286,2000.0,2024-01-12 16:26:50.793328,-18565.542073755987,4249.622953457278,6719.717270573619,False
-6.0,2.0,1290.172,409.3124,11204.63,3.024011,-3.595555,1.335286,333.0,2024-01-12 16:26:50.973356,13109.788477347967,-2512.9313217943877,7724.942786677619,False
-3.0,2.0,540.9626,461.9725,8945.033,-3.135989,2.774445,-1.604714,287.0,2024-01-12 16:26:51.167931,-3850.491584222023,270.64165488886033,-11612.987279969162,False
-4.0,13.0,756.3903,2266.777,9773.232,1.834011,-3.315555,-0.904714,287.0,2024-01-12 16:26:51.333446,1301.5599794580555,10904.17484820107,5003.770051052778,False
4.0,2.0,-871.285,519.4199,10632.55,-1.315989,5.504445,-2.794714,287.0,2024-01-12 16:26:51.572680,-6803.695544947624,-7303.966409456851,3591.9559928772637,False
0.0,3.0,-112.5011,655.8574,9878.553,-1.315989,-1.495555,-0.06471399,2000.0,2024-01-12 16:26:51.760754,4034.496527962398,725.4458351499942,-4009.0443123451378,False
-7.0,3.0,1282.991,540.9626,10077.22,-0.4759892,-6.605556,0.9852859,2000.0,2024-01-12 16:26:51.932783,8111.958448866179,-667.8804155113385,1154.8459852699223,False
-3.0,0.0,840.1677,169.9484,12037.62,0.4340108,-3.875555,-0.624714,488.0,2024-01-12 16:26:52.113358,-2452.295721999169,-2054.62660944206,10856.43084590891,False
1.0,-1.0,-165.1612,-179.523,9402.218,0.3640108,-0.7255552,2.525286,386.0,2024-01-12 16:26:52.292899,-5599.439125325134,-1946.4712795406062,-14678.552531176723,False
-8.0,0.0,1443.365,2.39364,9797.169,-0.6859893,0.6744447,1.965286,1507.0,2024-01-12 16:26:52.472979,8932.286761439362,1010.1990226565971,2193.1974677920875,False
1.0,-1.0,-213.034,-220.2149,9821.105,-3.205989,3.054445,-1.464714,291.0,2024-01-12 16:26:52.713063,-6899.24776328285,-927.2110594625215,99.69843887972416,False
-7.0,4.0,1213.576,715.6984,9847.436,0.4340108,0.04444473,12.39529,291.0,2024-01-12 16:26:52.893180,7920.462810284427,5196.140841786172,146.18831093122876,False
0.0,1.0,11.9682,174.7357,9756.477,0.2240108,-0.9355553,17.50529,2000.0,2024-01-12 16:26:53.072326,-6707.421879360968,-3019.6750136759965,-507.7367063735664,False
-1.0,2.0,265.694,375.8015,9849.829,1.344011,1.024445,1.475286,828.0,2024-01-12 16:26:53.252441,1408.68778280543,1116.3190184049079,518.2910918024537,False
-5.0,1.0,847.3486,315.9605,9282.536,1.904011,2.214445,3.925286,796.0,2024-01-12 16:26:53.432500,3230.355605662589,-332.34106598392725,-3150.5950827228835,False
-4.0,0.0,737.2411,172.3421,10153.82,1.554011,-1.355555,13.30529,763.0,2024-01-12 16:26:53.613019,-609.9496451897033,-795.58606019311,4826.550113838431,False
-1.0,2.0,248.9386,464.3662,9892.914,-0.2659893,-2.895555,2.875286,732.0,2024-01-12 16:26:53.792559,-2719.742118747911,1626.5127548178677,-1453.1914893616968,False
-5.0,0.0,950.2751,83.7774,9799.563,-0.5459892,0.1144447,4.835286,693.0,2024-01-12 16:26:53.973800,3869.634906009125,-2099.904546984402,-515.0655756699674,False
4.0,-5.0,-701.3365,-952.6688,9852.223,-0.4059892,1.864445,2.105286,658.0,2024-01-12 16:26:54.152836,-9225.0251346098,-5789.037958846266,294.1307893384563,False
-1.0,5.0,359.046,933.5196,10498.5,2.044011,1.794445,11.90529,613.0,2024-01-12 16:26:54.392436,4425.636477462437,7872.2387312186975,2697.3163606010016,False
-1.0,0.0,292.0241,-74.20284,8851.681,-1.595989,1.654445,5.885286,589.0,2024-01-12 16:26:54.573050,-371.0781002580089,-5579.425958120633,-9117.892300707585,False
-1.0,4.0,251.3322,780.3267,10172.97,0.7140108,1.444445,6.095286,542.0,2024-01-12 16:26:54.753647,-225.31880374535552,4731.692885263875,7316.228951754452,False
-1.0,1.0,236.9704,184.3103,9670.306,-0.05598922,0.3944447,0.915286,506.0,2024-01-12 16:26:54.933168,-80.00066844547429,-3320.0372101314056,-2800.0289659705486,False
-4.0,2.0,883.2532,538.569,10357.28,-0.9659892,-1.495555,2.175286,463.0,2024-01-12 16:26:55.171895,2707.2044636760816,1483.9490296447407,2877.655229613744,False
